ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
1171	i	1	tsʰ	Ø	tsʰ	tsʰ	tɕʰ	tɕʰ	Ø	tɕʰ	Ø	tɕʰ	2990:0
1172	m	1	j	Ø	-	-	-	-	Ø	-	Ø	-	2990:1
1173	n	1	i	Ø	i	i	i	i	Ø	i	Ø	i	2990:2
1174	t	1	⁴	Ø	⁵⁵	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	Ø	⁵⁵	2990:3
1175	i	1	ts	ʈʂ	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	2998:0
1176	m	1	r	-	-	-	-	-	-	-	-	-	2998:1
1177	n	1	i	i	ɛ	ɿ	i	ɚ/ə̃	i	i	ɚ/ə̃	i	2998:2
1178	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	2998:3
1179	i	1	ɕ	ɕʰ	ɕ	ɕ	Ø	Ø	ɕ	ɕ	ɕ	Ø	3009:0
1180	n	1	o	ou	u	o	Ø	Ø	ou	o	u	Ø	3009:1
1181	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	Ø	Ø	⁴⁴	⁵⁵	⁴²	Ø	3009:2
1182	i	1	b	p	Ø	p	b	Ø	p	p	b	p	3010:0
1183	n	1	e	e	Ø	i	i	Ø	e	e	i	e	3010:1
1184	t	1	¹	²¹	Ø	²¹	¹²	Ø	²¹	²¹	²⁵	²¹	3010:2
1185	i	1	p	p	p	p	p	p	p	p	p	Ø	3867:0
1186	n	1	u	u	ɯ	ɯ	u	u	u	əɯ	ɯ	Ø	3867:1
1187	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	Ø	3867:2
1188	i	1	tʰ	tʰ	tɕ	tʰ	tʰ	ʈʰ	tʰ	tʰ	tʰ	tʰ	3031:0
1189	m	1	j	-	i	i	-	-	-	-	-	-	3031:1
1190	n	1	u	u	u	u	y	u	u	əɯ	v/ʯ	o	3031:2
1191	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	3031:3
1192	i	1	kʰ	Ø	kʰ	kʰ	kʰ	Ø	kʰ	kʰ	Ø	kʰ	3043:0
1193	n	1	u	Ø	u	o	o	Ø	õ	o	Ø	ou	3043:1
1194	c	1	ŋ	Ø	-	-	ŋ	Ø	-	ŋ	Ø	-	3043:2
1195	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	⁵⁵	3043:3
1196	i	1	d	t	d	d	d	d	t	t	d	t	3052:0
1197	m	1	-	-	-	-	-	-	-	-	j	-	3052:1
1198	n	1	ɯ	ɯ	ɯ	ɯ	i	ɯ	ə̃	ɯ	ɯ	ɯ	3052:2
1199	t	1	⁵	³¹	⁴²	⁴³	⁴²	⁴²	³¹	³¹	²¹	³¹	3052:3
1200	i	1	d	t	t	t	d	t	t	t	d	t	3064:0
1201	n	1	ɔ	a	o	o	ao	o	ɑ	ə	ɔ	a	3064:1
1202	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	3064:2
1203	i	1	tsʰ	tɕʰ	tsʰ	Ø	Ø	ts	tɕʰ	tɕʰ	tɕʰ	tɕʰ	3075:0
1204	m	1	j	i/j	-	Ø	Ø	-	i/j	-	i/j	-	3075:1
1205	n	1	e	e	ɛ	Ø	Ø	ẽ	e	ĩ	e	i	3075:2
1206	c	1	n	n	-	Ø	Ø	-	n	-	n	-	3075:3
1207	t	1	¹	⁵⁵	⁵⁵	Ø	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3075:4
1208	i	1	tʰ	tʰ	tɕʰ	tʰ	tʰ	ʈ	tʰ	tʰ	tʰ	tʰ	3084:0
1209	m	1	j	-	i/j	i/j	-	-	-	-	-	-	3084:1
1210	n	1	æ	ɑ	a	æ	æ	a	ɑ	ɛ	a	a	3084:2
1211	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴²	⁴²	⁴⁴	3084:3
1212	i	1	n	-	Ø	Ø	Ø	Ø	-	ɲ	-	Ø	3095:0
1213	m	1	j	j	Ø	Ø	Ø	Ø	j	i/j	j	Ø	3095:1
1214	n	1	e	e	Ø	Ø	Ø	Ø	e	e	e	Ø	3095:2
1215	c	1	n	n	Ø	Ø	Ø	Ø	n	n	n	Ø	3095:3
1216	t	1	1b/¹	²¹	Ø	Ø	Ø	Ø	²¹	²¹	³⁵	Ø	3095:4
1217	i	1	Ø	Ø	ɲ	ɲ	ɲ	ɲ	Ø	Ø	Ø	ɲ	3096:0
1218	n	1	Ø	Ø	i	i	i	i	Ø	Ø	Ø	i	3096:1
1219	t	1	Ø	Ø	²¹	²¹	¹²	²¹	Ø	Ø	Ø	²¹	3096:2
1220	i	1	dʑ	tɕ	Ø	dʑ	dʑ	tɕ	tɕ	t	ʑ	k	3106:0
1221	m	1	-	-	Ø	-	-	y/ɥ	i/j	i/j	-	-	3106:1
1222	n	1	i	i	Ø	i	i	i	ɯ	e	i	e	3106:2
1223	c	1	-	-	Ø	-	-	-	-	n	-	-	3106:3
1224	t	1	²	³³	Ø	³³	²²	²²	³³	³³	³³	³⁵	3106:4
1225	i	1	ɖʐ	ʈʂ	ts	ts	ɖʐ	ʈʂ	ts	tsʰ	ʐ	ts	4814:0
1226	n	1	i	i	ɛ	ɿ	i	ɚ/ə	a	i	ɚ/ə	i	4814:1
1227	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	4814:2
1228	i	1	ɣ	k	q	q	ɣ	q	k	kʰ	Ø	k	3128:0
1229	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	Ø	ɛ	3128:1
1230	t	1	⁴	⁴²	⁴²	²¹	²¹	⁵⁵	⁴²	⁴²	Ø	⁴²	3128:2
1231	i	1	qʰ	kʰ	tɕʰ	kʰ	qʰ	ʈʰ	kʰ	kʰ	kʰ	tsʰ	3139:0
1232	n	1	o	o	i	o	ao	ɯ	õ	o	o	ɯ	3139:1
1233	c	1	ŋ	ŋ	-	-	-	-	-	-	-	-	3139:2
1234	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3139:3
1235	i	1	d	t	t	t	d	t	t	tʰ	d	t	3150:0
1236	n	1	ɛ	e	ɛ	ᴇ/ɛ	ɛ	e	e	ɛ	ɛ	e	3150:1
1237	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	3150:2
1238	i	1	d	Ø	Ø	d	Ø	Ø	Ø	Ø	d	Ø	3162:0
1239	m	1	r	Ø	Ø	i/j	Ø	Ø	Ø	Ø	i/j	Ø	3162:1
1240	n	1	ɯ	Ø	Ø	ɯ	Ø	Ø	Ø	Ø	ɯ	Ø	3162:2
1241	t	1	²	Ø	Ø	²²	Ø	Ø	Ø	Ø	³³	Ø	3162:3
1242	i	1	Ø	ʈʂ	dʑ	Ø	ɖʐ	tɕ	ts	dz	Ø	ts	3161:0
1243	n	1	Ø	*/ə	i	Ø	i	õ	ɯ	əɯ	Ø	ɯ	3161:1
1244	t	1	Ø	³³	²²	Ø	³³	²²	³³	³³	Ø	³³	3161:2
1245	i	1	ts	ʈʂ	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	3172:0
1246	m	1	r	-	-	-	-	-	-	-	-	-	3172:1
1247	n	1	e	ɚ/ə	ɛ	ɿ	i	ɚ/ə	i	e	ɚ/ə̃	i	3172:2
1248	c	1	n	-	-	-	-	-	-	n	-	-	3172:3
1249	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	3172:4
1250	i	1	z	Ø	Ø	Ø	z	Ø	Ø	ʐ	ʐ	Ø	3184:0
1251	m	1	r	Ø	Ø	Ø	-	Ø	Ø	y/ɥ	-	Ø	3184:1
1252	n	1	o	Ø	Ø	Ø	o	Ø	Ø	e	v/ʯ	Ø	3184:2
1253	c	1	ŋ	Ø	Ø	Ø	ŋ	Ø	Ø	n	ŋ	Ø	3184:3
1254	t	1	¹	Ø	Ø	Ø	¹²	Ø	Ø	²¹	³⁵	Ø	3184:4
1255	m	1	Ø	j	j	j	Ø	Ø	Ø	Ø	Ø	j	3183:0
1256	n	1	Ø	ou	u	u	Ø	Ø	Ø	Ø	Ø	ou	3183:1
1257	t	1	Ø	²¹	²¹	²¹	Ø	Ø	Ø	Ø	Ø	²¹	3183:2
1258	i	1	m	m	Ø	m	m	Ø	m	Ø	m	Ø	3194:0
1259	n	1	ɛ	e	Ø	ᴇ/ɛ	e	Ø	e	Ø	ɛ	Ø	3194:1
1260	c	1	-	-	Ø	-	n	Ø	-	Ø	-	Ø	3194:2
1261	t	1	1a/¹	³⁵	Ø	²⁴	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	Ø	3194:3
1262	i	1	s	Ø	s	ɕ	ʂ	ʂ	Ø	ɕ	ʂ	s	3205:0
1263	m	1	r	Ø	-	-	-	-	Ø	-	-	-	3205:1
1264	n	1	ɯ	Ø	ɛ	ɯ	i	ɚ/ə	Ø	ɚ/ə̃	i	i	3205:2
1265	t	1	²	Ø	²²	²²	²²	²²	Ø	⁵⁵	⁵⁵	³³	3205:3
1266	i	1	p	p	p	p	p	p	p	p	p	p	3214:0
1267	n	1	æ	ɚ/ə̃	a	æ	a	õ	a	ɚ/ə̃	a	ɛ	3214:1
1268	c	1	n	-	-	-	n	-	n	-	ŋ	-	3214:2
1269	t	1	²	³³	²²	²²	²²	⁴²	³³	³³	³³	³³	3214:3
1270	i	1	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	Ø	3234:0
1271	n	1	i	Ø	i	i	i	ĩ	i	i	i	Ø	3234:1
1272	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁰	⁵⁵	⁵⁵	⁵⁵	Ø	3234:2
1273	i	1	k	Ø	k	k	k	k	k	k	k	Ø	3235:0
1274	m	1	u/w	Ø	u/w	u/w	u/w	u/w	u/w	u/w	u/w	Ø	3235:1
1275	n	1	ɛ	Ø	i	i	ɛ	i	i	ɛ	e	Ø	3235:2
1276	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	3235:3
1277	m	1	j	j	Ø	j	j	Ø	j	j	j	j	3251:0
1278	n	1	a	a	Ø	a	a	Ø	o	a	ɔ	a	3251:1
1279	t	1	⁴	⁴⁴	Ø	⁵⁵	²⁴	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	3251:2
1280	n	1	Ø	Ø	o	Ø	Ø	a	ɑ̃	Ø	Ø	Ø	3252:0
1281	t	1	Ø	Ø	⁴⁴	Ø	Ø	⁵⁵	⁴⁴	Ø	Ø	Ø	3252:1
1282	m	1	j	j	Ø	j	j	Ø	j	j	j	j	3263:0
1283	n	1	a	a	Ø	a	a	Ø	ɑ	a	ɔ	a	3263:1
1284	t	1	⁴	⁴⁴	Ø	⁵⁵	²⁴	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	3263:2
1285	i	1	q	k	q	q	q	q	k	k	q	k	3274:0
1286	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	3274:1
1287	t	1	⁵	⁴²	423/⁴³	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	3274:2
1288	i	1	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	Ø	tʰ	tʰ	3285:0
1289	m	1	-	-	-	u/w	-	-	-	Ø	-	-	3285:1
1290	n	1	a	a	o	a	a	a	ɑ	Ø	ɔ	a	3285:2
1291	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	Ø	⁴²	⁵⁵	3285:3
1292	i	1	b	Ø	tɕ	p	dʑ	tɕ	p	tsʰ	ʐ	Ø	3297:0
1293	m	1	r	Ø	i/j	i/j	u/w	i	i/j	-	-	Ø	3297:1
1294	n	1	æ	Ø	a	a	a	õ	o	ɛ	o	Ø	3297:2
1295	t	1	⁴	Ø	⁴⁴	²¹	²¹	⁵⁵	⁴²	⁴²	⁴²	Ø	3297:3
1296	i	1	Ø	m	Ø	Ø	Ø	Ø	m	Ø	Ø	m	3296:0
1297	n	1	Ø	a	Ø	Ø	Ø	Ø	ɑ̃	Ø	Ø	a	3296:1
1298	t	1	Ø	²¹	Ø	Ø	Ø	Ø	²¹	Ø	Ø	-	3296:2
1299	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	3308:0
1300	n	1	e	e	ɛ	ᴇ/ɛ	*/ə	e	ẽ	e	a	e	3308:1
1301	c	1	n	n	-	-	-	-	-	n	n	-	3308:2
1302	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3308:3
1303	i	1	dʑ	tɕ	tɕʰ	dʑ	dʑ	Ø	tɕ	Ø	ʑ	tɕ	3319:0
1304	m	1	-	-	i/j	-	-	Ø	-	Ø	-	-	3319:1
1305	n	1	i	i	o	i	i	Ø	i	Ø	i	i	3319:2
1306	t	1	²	³³	⁵⁵	²²	²²	Ø	³³	Ø	³³	³³	3319:3
1307	i	1	n	Ø	n	ɲ	n	n	n	n	n	n	3330:0
1308	m	1	i/j	Ø	-	i	-	-	-	-	-	-	3330:1
1309	n	1	o	Ø	u	u	õ	u	ṽ/ʯ̃	əɯ	e	u	3330:2
1310	c	1	ŋ	Ø	-	-	-	-	-	-	n	-	3330:3
1311	t	1	1b/¹	Ø	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	3330:4
1312	i	1	ʈ	ʈʂ	tɕ	tʲ	ts	ʈ	ts	ts	tʲ	ts	3340:0
1313	n	1	o	ou	u	u	u	o	ou	o	u	ou	3340:1
1314	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3340:2
1315	i	1	ʁ	Ø	Ø	ʁ	ʁ	Ø	Ø	Ø	Ø	Ø	3352:0
1316	n	1	ɯ	Ø	Ø	ɯ	e	Ø	Ø	Ø	Ø	Ø	3352:1
1317	t	1	⁴	Ø	Ø	²¹	²¹	Ø	Ø	Ø	Ø	Ø	3352:2
1318	i	1	Ø	ɣ	ɣ	Ø	Ø	ɣ	ɣ	Ø	ɣ	ɣ	3351:0
1319	n	1	Ø	ɯ	ɯ	Ø	Ø	ɯ	ə	Ø	ɯ	ɯ	3351:1
1320	t	1	Ø	⁴²	⁴²	Ø	Ø	⁴²	⁴²	Ø	⁴²	⁴²	3351:2
1321	i	1	ts	ʈʂ	ts	ts	ʈʂ	ʈʂ	ts	ts	ʈʂ	ts	3362:0
1322	m	1	r	-	-	-	-	-	-	-	-	-	3362:1
1323	n	1	e	ɚ/ə̃	ɛ	ɿ	ẽ	ɚ/ə̃	a	e	ɚ/ə̃	i	3362:2
1324	c	1	ŋ	-	-	-	-	-	n	n	-	-	3362:3
1325	t	1	¹	³⁵	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	3362:4
1326	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	tʰ	ʈʰ	tsʰ	Ø	tʰ	tsʰ	3373:0
1327	m	1	r	-	-	i/j	-	-	-	Ø	-	-	3373:1
1328	n	1	æ	ɚ/ə	a	æ	æ	a	a	Ø	a	ɛ	3373:2
1329	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁴²	⁵⁵	⁴⁴	Ø	⁴²	⁴⁴	3373:3
1330	i	1	m	m	m	m	Ø	m	m	m	m	Ø	3384:0
1331	n	1	ɛ	e	ɛ̃	ᴇ/ɛ	Ø	e	ɛ	ɛ	ɛ	Ø	3384:1
1332	t	1	1a/¹	³⁵	⁵⁵	²⁴	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	3384:2
1333	m	1	j	j	j	j	j	j	j	Ø	j	j	3397:0
1334	n	1	a	a	o	a	a	a	ɑ	Ø	ɔ	o	3397:1
1335	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁵⁵	⁵⁵	⁴⁴	Ø	⁴²	³¹	3397:2
1336	i	1	m	m	m	m	m	m	m	m	m	m	3409:0
1337	n	1	ə	e	i	i	i	i	e	ɛ	i	e	3409:1
1338	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	3409:2
1339	i	1	m	m	Ø	m	Ø	Ø	m	m	m	m	3420:0
1340	n	1	a	a	Ø	a	Ø	Ø	ɑ̃	a	o	a	3420:1
1341	t	1	⁴	⁴⁴	Ø	⁵⁵	Ø	Ø	⁴⁴	⁴⁴	⁴²	⁵⁵	3420:2
1342	i	1	q	k	q	q	q	q	Ø	k	q	Ø	3421:0
1343	m	1	u/w	u/w	u/w	u/w	u/w	u/w	Ø	u/w	u/w	Ø	3421:1
1344	n	1	a	a	a	a	a	a	Ø	a	o	Ø	3421:2
1345	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	⁴²	Ø	3421:3
1346	i	1	g	Ø	k	k	g	k	k	k	g	k	3433:0
1347	n	1	ɔ	Ø	o	o	ao	o	o	o	ɔ	o	3433:1
1348	t	1	¹	Ø	²¹	²¹	¹²	²¹	⁴²	²¹	³⁵	²¹	3433:2
1349	i	1	g	k	k	k	g	k	k	Ø	g	k	3443:0
1350	n	1	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	Ø	ɯ	ɯ	3443:1
1351	t	1	¹	²¹	²¹	²¹	¹²	²²	²¹	Ø	³⁵	²¹	3443:2
1352	i	1	q	k	q	q	q	q	k	k	q	k	3454:0
1353	n	1	o	õ	u	o	o	õ	v/ʯ	o	o	v/ʯ	3454:1
1354	c	1	ŋ	-	-	-	ŋ	-	ŋ	ŋ	ŋ	-	3454:2
1355	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	3454:3
1356	i	1	g	k	Ø	g	Ø	Ø	k	k	g	kʰ	3469:0
1357	n	1	o	o	Ø	o	Ø	Ø	õ	õ	v/ʯ	ou	3469:1
1358	c	1	ŋ	ŋ	Ø	-	Ø	Ø	-	-	-	-	3469:2
1359	t	1	³	⁴²	Ø	⁴³	Ø	Ø	³¹	²¹	²¹	³¹	3469:3
1360	i	1	t	t	t	t	t	t	t	ts	Ø	Ø	3477:0
1361	n	1	ɛ	e	ɛ	ᴇ/ɛ	e	e	e	o	Ø	Ø	3477:1
1362	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁴²	⁴⁴	³³	Ø	Ø	3477:2
1363	i	1	m	m	m	m	Ø	m	Ø	Ø	m	m	3478:0
1364	n	1	i	i	ɛ	ᴇ/ɛ	Ø	e	Ø	Ø	ɛ	i	3478:1
1365	t	1	1a/¹	⁴⁴	⁴²	⁴³	Ø	⁴²	Ø	Ø	²¹	⁴⁴	3478:2
1366	i	1	sʰ	sʰ	s	s	s	s	s	s	s	s	3493:0
1367	n	1	o	ou	u	u	u	o	ou	o	u	o	3493:1
1368	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3493:2
1369	i	1	ʁ	u/w	kʰ	Ø	u/w	ŋ	u/w	v	u/w	u/w	3504:0
1370	m	1	u/w	-	u/w	Ø	-	u/w	-	-	-	-	3504:1
1371	n	1	e	ẽ	ɛ	Ø	e	e	ẽ	e	e	e	3504:2
1372	c	1	n	-	-	Ø	n	-	-	n	ŋ	-	3504:3
1373	t	1	1b/¹	³¹	⁴⁴	Ø	¹²	²¹	²¹	²¹	³⁵	²¹	3504:4
1374	i	1	p	Ø	tɕ	Ø	tɕ	tɕ	p	p	tɕ	Ø	3518:0
1375	m	1	r	Ø	y/ɥ	Ø	y/ɥ	y/ɥ	i/j	i/j	y/ɥ	Ø	3518:1
1376	n	1	e	Ø	i	Ø	e	ẽ	e	e	e	Ø	3518:2
1377	c	1	n	Ø	-	Ø	n	-	n	n	n	Ø	3518:3
1378	t	1	¹	Ø	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	3518:4
1379	i	1	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	kʰ	tsʰ	kʰ	tsʰ	tsʰ	3525:0
1380	n	1	o	o	o	o	o	u	õ	əɯ	o	ou	3525:1
1381	c	1	ŋ	ŋ	-	ŋ	ŋ	-	-	-	ŋ	-	3525:2
1382	t	1	³	⁴²	⁴²	⁴³	⁴²	⁴²	³¹	³³	²¹	³¹	3525:3
1383	i	1	sʰ	ʂʰ	ɕ	ɕ	s	ɕ	s	s	ɕ	s	3536:0
1384	m	1	r	-	i/j	i/j	-	i/j	-	-	i/j	-	3536:1
1385	n	1	ɔ	ou	o	o	ao	o	ou	a	o	o	3536:2
1386	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	3536:3
1387	i	1	Ø	f	f	f	pf	f	f	f	f	f	4669:0
1388	n	1	Ø	v/ʯ	v/ʯ	o	u	v/ʯ	v/ʯ	v/ʯ	v/ʯ	v/ʯ	4669:1
1389	t	1	Ø	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	4669:2
1390	i	1	s	Ø	Ø	Ø	Ø	Ø	Ø	s	s	s	3561:0
1391	m	1	u/w	Ø	Ø	Ø	Ø	Ø	Ø	u/w	u/w	u/w	3561:1
1392	n	1	a	Ø	Ø	Ø	Ø	Ø	Ø	a	a	a	3561:2
1393	t	1	⁴	Ø	Ø	Ø	Ø	Ø	Ø	⁴⁴	⁴²	⁴⁴	3561:3
1394	i	1	q	k	q	q	Ø	q	k	k	q	k	3566:0
1395	n	1	æ	ɚ/ə	a	æ	Ø	a	a	ɚ/ə	a	ɛ	3566:1
1396	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	Ø	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3566:2
1397	i	1	ts	Ø	ts	t	q	k	ts	tsʰ	ts	Ø	3576:0
1398	n	1	u	Ø	o	æ	æ	o	ṽ/ʯ̃	o	v/ʯ	Ø	3576:1
1399	c	1	ŋ	Ø	ŋ	-	-	ŋ	-	ŋ	ŋ	Ø	3576:2
1400	t	1	¹	Ø	⁵⁵	⁵⁵	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	Ø	3576:3
1401	i	1	s	s	s	s	s	s	s	s	s	tɕ	3590:0
1402	n	1	a	a	o	a	a	a	ɑ	ɐ	ɔ	ɛ	3590:1
1403	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	²¹	⁴²	⁴²	3590:2
1404	i	1	ɣ	k	q	q	ɣ	q	k	tsʰ	Ø	k	3601:0
1405	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɛ	Ø	ɛ	3601:1
1406	t	1	⁴	⁴²	⁴²	²¹	²¹	⁵⁵	⁴²	⁴²	Ø	⁴²	3601:2
1407	i	1	ʈ	ʈʂ	tɕ	tɕ	ts	tɕ	ts	ts	ʈʂ	ts	3634:0
1408	m	1	s	-	-	-	-	-	-	-	-	-	3634:1
1409	n	1	u	o	u	o	o	õ	ṽ/ʯ̃	o	v/ʯ	v/ʯ	3634:2
1410	c	1	ŋ	ŋ	-	-	ŋ	-	-	ŋ	ŋ	-	3634:3
1411	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	3634:4
1412	i	1	s	s	ɕ	ɕ	ɕ	ɕ	s	s	ʂ	s	3645:0
1413	m	1	r	-	-	-	-	-	-	-	-	-	3645:1
1414	n	1	u	u	u	u	y	y	u	u	v/ʯ	u	3645:2
1415	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	3645:3
1416	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	tsʰ	ʈʰ	tsʰ	s	tʰ	s	3656:0
1417	m	1	r	-	i/j	i	-	-	-	-	i	-	3656:1
1418	n	1	o	ou	o	u	u	o	ou	əɯ	u	o	3656:2
1419	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	³³	⁴²	³³	3656:3
1420	i	1	ɣ	k	q	q	ɣ	q	k	k	Ø	k	3667:0
1421	n	1	ɯ	ɯ	ɯ	ɯ	e	ɯ	ɯ	əɯ	Ø	ɯ	3667:1
1422	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	Ø	²¹	3667:2
1423	i	1	tsʰ	tɕʰ	tsʰ	tsʰ	tɕʰ	tsʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	3678:0
1424	m	1	j	-	-	-	-	-	-	-	-	-	3678:1
1425	n	1	i	i	i	i	i	i	i	i	i	i	3678:2
1426	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3678:3
1427	i	1	q	k	q	q	q	q	k	k	q	tsʰ	3689:0
1428	n	1	æ	ɚ/ə̃	a	æ	a	ã	ɛ̃	ɚ/ə̃	a	ɛ	3689:1
1429	c	1	n	-	-	-	n	-	-	-	ŋ	-	3689:2
1430	t	1	¹	³³	²²	²²	²²	²²	³³	³³	³³	⁵⁵	3689:3
1431	m	1	j	j	Ø	Ø	Ø	j	j	Ø	j	j	3701:0
1432	n	1	i	i	Ø	Ø	Ø	i	i	Ø	i	i	3701:1
1433	t	1	³	²¹	Ø	Ø	Ø	⁴²	³¹	Ø	²¹	³¹	3701:2
1434	i	1	dʑ	tɕ	ɕ	dz	dz	Ø	tɕ	tɕ	ʐ	tɕ	3712:0
1435	m	1	-	i/j	i/j	-	-	Ø	i/j	i/j	-	i/j	3712:1
1436	n	1	æ	ɚ̃/ə̃	a	ᴇ/ɛ	a	Ø	a	ɚ̃/ə̃	a	ɛ	3712:2
1437	c	1	n	-	-	-	n	Ø	n	-	ŋ	-	3712:3
1438	t	1	³	²¹	⁴⁴	⁴³	⁴²	Ø	³¹	²¹	²¹	³¹	3712:4
1439	i	1	n	-	Ø	ɲ	-	Ø	-	-	-	-	3723:0
1440	m	1	j	j	Ø	i/j	j	Ø	j	j	j	j	3723:1
1441	n	1	o	o	Ø	o	o	Ø	õ	o	o	ou	3723:2
1442	c	1	-	ŋ	Ø	-	ŋ	Ø	-	ŋ	ŋ	-	3723:3
1443	t	1	¹	²¹	Ø	²¹	¹²	Ø	²¹	²¹	³⁵	²¹	3723:4
1444	i	1	Ø	Ø	ŋ	ɲ	Ø	Ø	ŋ	Ø	Ø	ŋ	3734:0
1445	n	1	Ø	Ø	a	*/ə	Ø	Ø	e	Ø	Ø	e	3734:1
1446	t	1	Ø	Ø	²¹	²¹	Ø	Ø	²¹	Ø	Ø	²¹	3734:2
1447	i	1	Ø	Ø	ɲ	ɲ	Ø	n	Ø	Ø	Ø	Ø	3746:0
1448	m	1	Ø	Ø	i/j	i/j	Ø	-	Ø	Ø	Ø	Ø	3746:1
1449	n	1	Ø	Ø	a	a	Ø	a	Ø	Ø	Ø	Ø	3746:2
1450	t	1	Ø	Ø	²¹	²¹	Ø	²¹	Ø	Ø	Ø	Ø	3746:3
1451	i	1	l	l	l	l	l	l	l	l	l	l	3757:0
1452	n	1	ɔ	ou	o	o	ao	o	ou	o	ɔ	o	3757:1
